LAMMPS data file. CGCMM style. atom_style full generated by wangyu

8 atoms
1 atom types
12 bonds
1 bond types
24 angles
2 angle types

-2.0 2.0 xlo xhi
-2.0 2.0 ylo yhi
-2.0 2.0 zlo zhi

Masses

1 1.0

Atoms # molecular

1 1 1 0.0 0.0 0.0
2 1 1 1.0 0.0 0.0
3 1 1 0.0 1.0 0.0
4 1 1 1.0 1.0 0.0
5 1 1 0.0 0.0 1.0
6 1 1 1.0 0.0 1.0
7 1 1 0.0 1.0 1.0
8 1 1 1.0 1.0 1.0

Bonds

1 1 1 2
2 1 1 3
3 1 1 5
4 1 2 4
5 1 2 6
6 1 3 4
7 1 3 7
8 1 4 8
9 1 5 6
10 1 5 7
11 1 6 8
12 1 7 8

Angles

1 2 2 1 3
2 2 2 1 5
3 1 1 2 4
4 1 1 2 6
5 2 3 1 5
6 1 1 3 4
7 1 1 3 7
8 1 1 5 6
9 1 1 5 7
10 2 4 2 6
11 2 2 4 3
12 1 2 4 8
13 2 2 6 5
14 1 2 6 8
15 2 4 3 7
16 1 3 4 8
17 2 3 7 5
18 1 3 7 8
19 2 4 8 6
20 2 4 8 7
21 2 6 5 7
22 1 5 6 8
23 1 5 7 8
24 2 6 8 7
